Selecao,Grupo,RankingFifa,Passes_Completos,Chutes_no_Alvo,Posse_Bola,Gols_Sofridos,Cartoes_Amarelos,Faltas
México,A,14,410,5,50,1,2,10
África do Sul,A,58,380,3,43,3,2,12
Coreia do Sul,A,23,430,4,47,2,2,10
Rep. Checa,A,34,430,5,48,2,2,11
Canadá,B,49,380,4,48,2,3,12
Bósnia,B,63,400,4,45,3,3,13
Catar,B,37,390,3,45,3,2,10
Suíça,B,15,430,4,47,1,2,11
Brasil,C,5,550,8,57,1,2,10
Marrocos,C,13,440,5,48,1,2,11
Haiti,C,87,350,2,39,4,3,15
Escócia,C,39,420,4,46,2,2,11
Estados Unidos,D,11,460,6,52,1,2,9
Paraguai,D,56,390,3,44,3,3,14
Austrália,D,24,410,4,45,2,3,12
Turquia,D,35,430,5,47,2,2,11
Alemanha,E,16,530,7,53,1,2,10
Curaçao,E,90,360,3,41,4,2,12
Costa do Marfim,E,38,420,4,47,2,2,11
Equador,E,31,430,5,48,2,2,11
Holanda,F,8,510,6,52,1,2,10
Japão,F,18,450,5,46,2,1,9
Suécia,F,26,440,5,48,2,2,11
Tunísia,F,41,390,3,44,3,3,14
Bélgica,G,3,510,6,53,1,2,11
Egito,G,38,400,4,46,2,2,11
Irã,G,20,400,4,44,2,2,13
Nova Zelândia,G,85,360,3,40,4,2,12
Espanha,H,7,590,6,58,1,1,7
Cabo Verde,H,65,380,3,43,3,2,11
Arábia Saudita,H,53,380,3,43,3,3,14
Uruguai,H,15,470,5,50,2,3,12
França,I,2,530,7,55,1,2,9
Senegal,I,19,420,4,46,2,2,12
Iraque,I,55,380,3,42,3,3,14
Noruega,I,45,460,6,51,1,2,9
Argentina,J,1,540,7,56,1,1,8
Argélia,J,32,410,4,46,2,2,12
Áustria,J,25,430,4,49,2,2,12
Jordânia,J,70,370,3,41,3,2,11
Portugal,K,6,520,7,54,1,2,9
RD Congo,K,60,390,3,44,2,2,12
Uzbequistão,K,66,380,3,42,3,2,11
Colômbia,K,12,460,5,49,2,3,13
Inglaterra,L,4,500,6,54,1,1,8
Croácia,L,18,490,5,51,1,2,10
Gana,L,64,400,4,44,3,2,11
Panamá,L,55,390,3,43,3,3,12
