Selecao,Grupo,RankingFIFA,Posse_Bola,Chutes_no_Alvo,Passes_Completos
México,A,14,55,5,400
Coreia do Sul,A,23,50,4,350
Rep. Checa,A,34,48,4,320
África do Sul,A,58,40,3,250
Canadá,B,49,52,4,360
Suíça,B,15,58,5,450
Catar,B,37,45,3,300
Bósnia,B,63,42,3,280
Brasil,C,5,65,8,550
Escócia,C,39,45,4,310
Haiti,C,87,35,2,200
Marrocos,C,13,50,5,380
Estados Unidos,D,11,50,4,420
Turquia,D,35,48,4,340
Paraguai,D,56,43,3,290
Austrália,D,24,46,4,330
Alemanha,E,16,60,7,530
Equador,E,31,52,5,390
Curaçau,E,90,38,2,220
Costa do Marfim,E,38,48,4,350
Holanda,F,7,62,6,510
Tunísia,F,41,44,3,280
Suécia,F,26,50,4,380
Japão,F,18,54,5,410
Bélgica,G,4,61,6,520
Nova Zelândia,G,104,38,2,210
Irã,G,20,47,4,320
Egito,G,36,46,4,310
Espanha,H,3,70,6,600
Uruguai,H,15,53,5,430
Arábia Saudita,H,53,42,3,270
Cabo Verde,H,65,40,3,250
França,I,2,62,7,520
Noruega,I,46,48,4,340
Iraque,I,58,41,3,260
Senegal,I,17,50,5,390
Argentina,J,1,60,6,510
Jordânia,J,70,39,2,230
Áustria,J,25,51,4,380
Argélia,J,43,49,4,350
Portugal,K,6,64,7,560
Colômbia,K,12,55,5,420
Uzbequistão,K,66,42,3,270
RD Congo,K,67,41,3,260
Inglaterra,L,4,58,5,480
Panamá,L,45,43,3,280
Gana,L,61,45,4,300
Croácia,L,10,56,5,460
